idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,55-64,91,230641,39.45525730464228
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,65-74,42,98287,42.731999145360014
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,75+,23,30607,75.14620838370308
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,0-4,289,240746,120.04353135669959
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,5-9,291,236274,123.1620914700729
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,10-14,326,234605,138.956970226551
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,15-19,288,241381,119.31345052013206
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,20-44,639,1253388,50.98181887811277
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,45-54,141,385610,36.565441767589014
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,55-64,76,242482,31.34253264159814
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,65-74,29,104062,27.868001768176665
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,75+,10,32325,30.93580819798917
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,0-4,707,239622,295.04803398686266
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,5-9,899,237204,378.99866781335896
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,10-14,1042,238258,437.34103366938365
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,15-19,958,243625,393.22729604925604
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,20-44,2093,1249414,167.5185326881242
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,45-54,293,397679,73.67751377367173
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,55-64,142,254322,55.83472920156337
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,65-74,69,109838,62.819789144012084
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,75+,23,34044,67.55962871577958
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,0-4,396,238497,166.0398244003069
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,5-9,512,238133,215.0059000642498
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,10-14,520,241911,214.9550867881163
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,15-19,446,245870,181.39667303859764
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,20-44,1007,1245440,80.85495889003083
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,45-54,210,409749,51.25088773859118
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,55-64,99,266163,37.195252533222124
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,65-74,43,115613,37.19304922456817
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,75+,17,35763,47.53516203897883
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,0-4,389,237372,163.87779519067118
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,5-9,542,239063,226.71848006592404
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,10-14,493,245564,200.76232672541576
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,15-19,355,248115,143.07881425951675
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,20-44,847,1241466,68.22579112114227
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,45-54,138,421818,32.715531342901436
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,55-64,78,278004,28.057150256830838
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,65-74,31,121388,25.537944442613767
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,75+,9,37482,24.011525532255483
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,0-4,559,236248,236.61575971013514
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,5-9,842,239992,350.8450281676056
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,10-14,796,249217,319.400361933576
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,15-19,564,250359,225.27650294177562
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,20-44,1561,1237492,126.1422296063328
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,45-54,266,433888,61.30614352090863
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,55-64,127,289844,43.81667379693904
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,65-74,54,127164,42.4648485420402
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,75+,18,39201,45.91719598989822
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,0-4,484,235123,205.84970419737755
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,5-9,425,240922,176.40564165995633
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,10-14,377,252870,149.08846442836239
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,15-19,284,252604,112.42894015930072
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,20-44,707,1233517,57.31578891900153
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,45-54,171,445957,38.34450406653556
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,55-64,105,301685,34.804514642756516
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,65-74,54,132939,40.62013404644235
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,75+,14,40919,34.21393484689264
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,0-4,140,72308,193.6161973778835
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,5-9,101,73729,136.98815934028673
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,10-14,80,73554,108.76362944231448
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,15-19,72,80905,88.9932637043446
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,20-44,207,424976,48.70863295809646
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,45-54,47,134767,34.875006492687376
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,55-64,23,89737,25.63045343615231
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,65-74,10,41748,23.953243269138643
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,75+,5,16715,29.91325157044571
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,0-4,83,72586,114.34711927919983
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,5-9,99,74141,133.5293562266492
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,10-14,70,75084,93.22891694635341
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,15-19,102,81910,124.52691979001342
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,20-44,250,425515,58.75233540533236
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,45-54,46,139416,32.99477821770815
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,55-64,30,94497,31.74703958855837
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,65-74,12,43827,27.38038195632829
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,75+,7,17616,39.736603088101724
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,0-4,234,72863,321.15065259459533
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,5-9,319,74552,427.88925850413136
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,10-14,343,76613,447.7046976361714
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,15-19,305,82915,367.84658988120367
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,20-44,792,426057,185.89062026911893
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,45-54,115,144063,79.82618715423114
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,55-64,67,99258,67.50085635414777
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,65-74,33,45906,71.88602797019998
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,75+,12,18516,64.80881399870383
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,0-4,127,73140,173.63959529669128
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,5-9,150,74964,200.096046102129
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,10-14,214,78143,273.8569033694637
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,15-19,147,83920,175.16682554814108
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,20-44,412,426598,96.57804302879995
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,45-54,67,148711,45.05382923926273
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,55-64,30,104018,28.84116210655848
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,65-74,16,47985,33.34375325622591
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,75+,4,19417,20.600504712365453
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,0-4,54,73417,73.55244698094447
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,5-9,69,75376,91.54107408193589
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,10-14,94,79672,117.98373330655689
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,15-19,49,84925,57.697968795996466
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,20-44,166,427140,38.863136208268955
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,45-54,46,153359,29.994979101324343
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,55-64,13,108778,11.950945963338174
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,65-74,16,50064,31.959092361776925
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,75+,4,20317,19.68794605502781
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,0-4,198,73694,268.6785898444921
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,5-9,326,75787,430.1529286025308
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,10-14,361,81202,444.5703307800301
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,15-19,268,85930,311.8817642266962
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,20-44,602,427681,140.7591171924869
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,45-54,101,158006,63.92162322949762
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,55-64,56,113539,49.322259311778325
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,65-74,18,52143,34.52045336862091
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,75+,9,21218,42.41681591101895
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,0-4,152,73972,205.4831557886768
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,5-9,177,76199,232.2865129463641
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,10-14,167,82731,201.85903712030554
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,15-19,142,86935,163.34042675562202
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,20-44,339,428221,79.164730361192
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,45-54,59,162655,36.27309335710553
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,55-64,42,118299,35.503258691958514
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,65-74,20,54222,36.88539707129947
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,75+,11,22118,49.73324893751696
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,0-4,234,189493,123.48741114447499
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,5-9,223,187682,118.81800066069201
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,10-14,152,182871,83.11870116092766
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,15-19,141,196091,71.9053908644456
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,20-44,444,1054691,42.09763807598624
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,45-54,67,292825,22.88056006147016
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,55-64,63,180267,34.94816022899366
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,65-74,22,79726,27.594511200862957
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,75+,9,28411,31.677871247052195
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,0-4,138,187937,73.42886179943278
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,5-9,199,188540,105.54789434602738
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,10-14,246,185730,132.4503311258278
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,15-19,212,194544,108.97277736655975
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,20-44,615,1042585,58.987996182565446
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,45-54,98,302428,32.40440699935191
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,55-64,54,189831,28.446354915688165
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,65-74,16,84543,18.925280626426787
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,75+,8,30069,26.605474076291195
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,0-4,416,186382,223.1975190737303
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,5-9,610,189399,322.07139425234556
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,10-14,671,188589,355.8001792257237
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,15-19,616,192998,319.17429196157474
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,20-44,1602,1030479,155.4616833530814
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,45-54,200,312029,64.09660640517389
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,55-64,100,199394,50.1519604401336
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,65-74,45,89361,50.35753852351697
