idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,15-44,2125,1487851,142.8234413257779
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,45+,465,890097,52.241497275016094
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,0-4,484,235123,205.84970419737755
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,5-14,802,493792,162.416564059361
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,15-44,991,1486121,66.68366842269236
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2023,45+,344,921500,37.33043950081389
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,0-4,140,72308,193.6161973778835
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,5-14,181,147283,122.89266242539873
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,15-44,279,505881,55.15131028838798
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2017,45+,85,282967,30.03883845112681
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,0-4,83,72586,114.34711927919983
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,5-14,169,149225,113.25180097168705
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,15-44,352,507425,69.36985761442578
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2018,45+,95,295356,32.16457427646637
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,0-4,234,72863,321.15065259459533
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,5-14,662,151165,437.9320609929547
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,15-44,1097,508972,215.53248508758833
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2019,45+,227,307743,73.7628475708627
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,0-4,127,73140,173.63959529669128
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,5-14,364,153107,237.74223255631682
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,15-44,559,510518,109.49662891416169
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2020,45+,117,320131,36.54753835148736
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,0-4,54,73417,73.55244698094447
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,5-14,163,155048,105.12873432743409
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,15-44,215,512065,41.9868571372775
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2021,45+,79,332518,23.758112342790465
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,0-4,198,73694,268.6785898444921
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,5-14,687,156989,437.61027842715094
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,15-44,870,513611,169.38889548705149
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2022,45+,184,344906,53.347868694658835
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,0-4,152,73972,205.4831557886768
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,5-14,344,158930,216.44749260680803
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,15-44,481,515156,93.36977536901443
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,2023,45+,132,357294,36.944365144670776
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,0-4,234,189493,123.48741114447499
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,5-14,375,370553,101.20009823156202
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,15-44,585,1250782,46.77074022491529
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2017,45+,161,581229,27.699925502684827
